City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,kruisfontein,-34.0033,24.7314,12.71,89,31,2.13,ZA,1683671691
320,ulladulla,-35.35,150.4667,13.65,59,0,1.42,AU,1683671691
321,keflavik,64.0049,-22.5624,8.95,100,75,3.09,IS,1683671691
322,san juan,-31.5375,-68.5364,19.99,33,69,5.33,AR,1683671478
323,berber,18.0216,33.983,25.72,12,97,4.36,SD,1683671691
324,ta`u,-14.2336,-169.5144,27.96,75,94,5.47,AS,1683671692
325,chui,-33.6971,-53.4616,13.67,72,79,2.5,UY,1683671650
326,whakatane,-37.9585,176.9854,19.32,88,30,8.23,NZ,1683671692
327,anloga,5.7947,0.8973,28.81,77,70,5.02,GH,1683671692
328,aykhal,66.0,111.5,-7.64,88,9,9.57,RU,1683671492
329,dulangan,11.4561,122.9557,28.03,79,68,1.46,PH,1683671693
330,bizerte,37.2744,9.8739,15.0,94,40,2.06,TN,1683671693
331,saint-pierre,-21.3393,55.4781,23.65,73,0,3.09,RE,1683671693
332,severo-yeniseyskiy,60.3725,93.0408,-4.32,79,77,3.42,RU,1683671693
333,kununurra,-15.7667,128.7333,17.99,34,53,3.6,AU,1683671693
334,rikaze,29.25,88.8833,3.04,47,0,2.36,CN,1683671693
335,mangrol,21.1167,70.1167,28.25,67,54,4.63,IN,1683671694
336,alcazar de san juan,39.3901,-3.2083,16.94,58,82,2.36,ES,1683671528
337,minas de marcona,-15.2119,-75.1103,15.97,84,23,5.54,PE,1683671694
338,tolanaro,-25.0319,46.9987,23.04,94,40,7.2,MG,1683671694
339,haukipudas,65.1765,25.3523,11.03,81,100,1.68,FI,1683671694
340,tura,25.5198,90.2201,24.11,54,0,2.25,IN,1683671696
341,qamdo,31.1667,97.2333,-0.24,57,85,2.6,CN,1683671627
342,ghat,24.9647,10.1728,21.43,29,78,6.02,LY,1683671696
343,amlapura,-8.45,115.6167,25.9,89,97,1.25,ID,1683671697
344,poquoson,37.1224,-76.3458,19.44,72,75,7.2,US,1683671700
345,usinsk,65.9939,57.5281,-0.87,96,100,6.38,RU,1683671700
346,tindouf,27.6711,-8.1474,34.25,10,1,4.63,DZ,1683671700
347,sokoni,-6.4333,39.55,26.37,78,46,5.91,TZ,1683671701
348,nizhneangarsk,55.7833,109.55,6.56,67,66,1.33,RU,1683671701
349,vanino,49.0869,140.2543,3.1,68,100,4.66,RU,1683671701
350,mount gambier,-37.8333,140.7667,13.06,75,100,1.15,AU,1683671701
351,richards bay,-28.783,32.0377,19.1,88,100,5.28,ZA,1683671702
352,mokhsogollokh,61.4681,128.9203,3.78,57,98,5.44,RU,1683671702
353,uyar,55.81,94.3153,4.47,93,100,2.54,RU,1683671702
354,kavaratti,10.5669,72.642,28.96,60,99,2.55,IN,1683671703
355,walvis bay,-22.9575,14.5053,12.53,94,2,3.09,NA,1683671703
356,pervomayskiy,53.2485,40.2871,4.39,64,93,3.31,RU,1683671703
357,urangan,-25.3,152.9,18.17,72,37,6.24,AU,1683671703
358,vila velha,-20.3297,-40.2925,23.3,89,0,1.54,BR,1683671704
359,alice town,25.7167,-79.3,26.13,72,75,4.33,BS,1683671704
360,belmonte,-15.8631,-38.8828,24.4,86,21,4.67,BR,1683671704
361,sihanoukville,10.6093,103.5296,24.97,94,40,1.03,KH,1683671704
